section,phase,ratio,version,embedding_key,embedding_label,selection_strategy,selection_scope,predictor,hyperparam_policy,K,tau,item_r_mean,item_r_ci_lower,item_r_ci_upper,trait_r_mean,profile_r_mean,item_mae_mean,reference,source_artifact,within_minus_between_raw_cosine,mean_selected_set_coverage_shifted_cosine,mean_selected_set_redundancy_shifted_cosine,delta_item_r_vs_sbert,p_vs_sbert_holm,delta_item_r_selection_vs_A,p_selection_holm,jaccard_mean_vs_s_old
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),Hybrid-C,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2283295367234902,0.2204475037555998,0.2375122885354662,0.8369873807155572,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),Hybrid-C,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2944632690188268,0.2840670636045692,0.3022604888850466,0.9297243819124542,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),Hybrid-C,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.3353128910597991,0.3064495014869658,0.3641762806326324,0.9924286856405105,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase2_predictor_ablation,phase2,10.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,Tuned UniformKNN,train_inner_tuned,3.0,,0.1246158038977125,0.121536922910718,0.127559101924916,0.520593352667167,0.5874911257914401,1.0719906975032658,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,10.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,CosineWeightedKNN,train_inner_tuned,10.0,,0.1510684281696264,0.1369104346594247,0.1614922132478062,0.3867355795178483,0.676301081050908,1.0534213464333682,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,10.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,SoftmaxKNN,train_inner_tuned,7.0,0.1,0.2586693597583426,0.2539177260330093,0.2634209934836756,0.6458535072951255,0.6864391851197684,1.0045253702783756,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,10.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,KernelSmoothing,train_inner_tuned,,0.1,0.2570822946480036,0.2519275059453948,0.2622370833506123,0.6427271458696862,0.6880252809053108,1.0015225037257824,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,10.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,UniformKNN K=5 (原文 baseline),original_fixed_K5,5.0,,0.0836368102444791,,,0.4676142699173925,0.5627003541530119,1.0627544369008848,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,30.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,Tuned UniformKNN,train_inner_tuned,3.0,,0.2856210114862096,0.2797409185003053,0.2915011044721139,0.8449128295227212,0.8654006304768714,0.9728989473186196,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,30.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,CosineWeightedKNN,train_inner_tuned,3.0,,0.2883931535941616,0.2827356871021452,0.294050620086178,0.8452847960958498,0.865898944423491,0.9711216805052868,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
