strategy,ratio,r_O,r_O_lo,r_O_hi,r_C,r_C_lo,r_C_hi,r_E,r_E_lo,r_E_hi,r_A,r_A_lo,r_A_hi,r_N,r_N_lo,r_N_hi,trait_r_mean,ci_lower,ci_upper
Hybrid-A,30,0.7092917596541929,0.6848056854775472,0.7381832974084122,0.8189014228911888,0.8079465128420693,0.8273754292925503,0.9569624526197986,0.9533774263277559,0.9603118485093833,0.674548968021536,0.5951061509164195,0.7454610531608268,0.823154756436711,0.7922601427237794,0.8540493701496427,0.7965718719246855,0.7787220185377904,0.8089994089272009
Hybrid-A,50,0.783822946708267,0.7719180969127523,0.7945037476954806,0.9659816627681275,0.9615415659164605,0.9697218526391829,0.9763271630715732,0.9733415968059347,0.9793114542381165,0.8716501980457041,0.8621851989109981,0.883497724084434,0.964691001724607,0.9586319940880909,0.9710492522239113,0.912494594463656,0.9091581759988948,0.915831012928417
Hybrid-A,90,0.9691240814361912,0.9676610073120981,0.9715117645188664,0.9942973068024961,0.9931427280191624,0.9950318565087108,1.0,1.0,1.0,0.9924424694464757,0.9904771011417897,0.9944374119019846,0.997893707045306,0.9978321192765464,0.9979397091269941,0.9907515129460938,0.9902931496349254,0.9912098762572624
Hybrid-B,10,0.27674204157725646,0.23332180832224356,0.3226387353362562,0.546360643052477,0.5125407810398144,0.5884838176737274,0.7715659502813041,0.7426744986181288,0.8014068478988232,-0.0012792961725305197,-0.04656726539433208,0.04683191715829714,0.5487844895775071,0.4920880878446705,0.5992444920854775,0.4284347656632028,0.40936969121893296,0.4504597218279679
Hybrid-B,30,0.7119841288118275,0.6959795584387525,0.7252181403939666,0.8755607401585651,0.861747144339942,0.8872508174656651,0.944169325370616,0.935359155538723,0.951875737240457,0.7036760537970495,0.6398707748081518,0.7465414986278315,0.8220217826607923,0.8098005554166596,0.8422950660711326,0.81148240615977,0.7972897958718881,0.8195768295213048
Hybrid-B,50,0.888258376263751,0.8789811168683501,0.900677299042653,0.959331019904508,0.9515945026453567,0.9657105477565391,0.9751604716073048,0.9724318764284415,0.9775575521824121,0.9023538790032261,0.894955590369843,0.9126600113506129,0.916604699065805,0.9132499015370458,0.9201307934535125,0.9283416891689191,0.925782343598413,0.9309010347394249
Hybrid-B,90,0.9891981991766231,0.9864137963264753,0.9919826020267714,0.9949875109759546,0.9948134147128433,0.9951534989698002,0.9977221246995065,0.9961621594846092,0.9992820899144039,0.9822533386264183,0.9812250518605856,0.9833683535965523,0.9967703916580435,0.9955680652423263,0.9979311008106224,0.9921863130273092,0.9916451293747656,0.9926952537430409
Hybrid-C,10,0.3809360139411678,0.3391922237619995,0.4226798041203361,0.6572661168930233,0.6331248810427518,0.6814073527432949,0.7581435056929057,0.7396669739413178,0.7724647159673987,0.3543384961062238,0.336597799615415,0.3790813940199026,0.3153642921833782,0.24596125737122382,0.41206235917451106,0.4932096849633398,0.48030562295674245,0.5047099910169697
Hybrid-C,30,0.7561679928796403,0.7083848938722698,0.7889880634147426,0.8633561234566118,0.8556320446701695,0.8747288590694227,0.9014486944326562,0.894202149190666,0.9086952396746464,0.795058973063198,0.7856997429831829,0.8041935262092288,0.8689051197456804,0.8607096924400656,0.8771005470512954,0.8369873807155572,0.8294472982876385,0.8416218645270274
Hybrid-C,50,0.8670758672862522,0.8435365456733415,0.8906151888991628,0.9581817501977795,0.9535407240496356,0.9628227763459234,0.9673170153115995,0.9639222194218547,0.9707943685297582,0.9023210463860731,0.8990452287651719,0.9054239430227726,0.9537262303805669,0.9489279070183494,0.9585245537427841,0.9297243819124542,0.9265600684992222,0.9330894096751953
