family,a_version,b_version,embedding_key,embedding_label,ratio,a_item_r_mean,a_item_r_ci_lower,a_item_r_ci_upper,b_item_r_mean,b_item_r_ci_lower,b_item_r_ci_upper,delta_selection_vs_a,delta_selection_vs_a_ci_lower,delta_selection_vs_a_ci_upper,p_selection_holm,p_selection_bh,jaccard_mean_vs_s_old,jaccard_min_vs_s_old,jaccard_max_vs_s_old,selection_changed_any_fold,delta_a_vs_sbert,delta_b_vs_sbert,best_of_pair,evidence_source_table4,evidence_source_contribution,evidence_source_overlap
tuned_params,A2_tuned,B2_tuned,sbert_original,SBERT (original),50,0.4316511854953871,0.4257445743768844,0.4375577966138899,0.4381468670203977,0.4322858368447257,0.4440078971960696,0.0064956815250104,0.0050062701666583,0.0079775598743075,0.0,0.0,0.9230769230769231,0.9230769230769232,0.9230769230769232,True,,,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,sbert_original,SBERT (original),90,0.613302217267876,0.6024099002162174,0.6241945343195346,0.613302217267876,0.6024099002162174,0.6241945343195346,4.428184680898219e-18,3.1564960191968814e-18,5.6706929959194164e-18,0.0,0.0,1.0,1.0,1.0,False,,,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,10,0.2712341991403226,0.2648236052112949,0.2776447930693503,0.2984767851163499,0.2928953568434946,0.3040582133892052,0.0272425859760273,0.0216338078025677,0.0328506030547585,0.0,0.0,0.11111111111111112,0.1111111111111111,0.1111111111111111,True,-0.0054910401379649,0.0217515458380623,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,30,0.4064090233010284,0.4005158606531225,0.4123021859489343,0.4066706723925082,0.4011247030265932,0.4122166417584232,0.0002616490914798,-0.0030062484280887,0.0035427797499345,0.8828,0.8827999999999999,0.2,0.2,0.2,True,0.0263645033713879,0.0261549865773706,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,50,0.4519971909389168,0.4456604842483872,0.4583338976294464,0.4651943575276723,0.4591201261217849,0.4712685889335598,0.0131971665887554,0.009201591132532,0.0171678806709486,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.0203460054435296,0.0270474905072746,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,90,0.573505585512366,0.5628234024454294,0.5841877685793025,0.5298658792510795,0.518720909140144,0.541010849362015,-0.0436397062612864,-0.0554178834335962,-0.0320319332370283,0.0,0.0,0.8556701030927835,0.8556701030927835,0.8556701030927835,True,-0.0397966317555101,-0.0834363380167966,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,10,0.2919530456813981,0.285976285376459,0.2979298059863372,0.3506870790084507,0.34489873591457,0.3564754221023313,0.0587340333270526,0.0537756029156094,0.0638866546825176,0.0,0.0,0.1764705882352941,0.1764705882352941,0.1764705882352941,True,0.0152278064031105,0.0739618397301631,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,30,0.4473727359082305,0.4413501419764469,0.4533953298400142,0.4356072004359351,0.4298115826754115,0.4414028181964586,-0.0117655354722954,-0.0148325680856548,-0.0086773337072981,0.0,0.0,0.3043478260869565,0.3043478260869565,0.3043478260869565,True,0.0673282159785901,0.0550915146207975,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,50,0.4896052654001855,0.4832116989912376,0.4959988318091334,0.4877969980988802,0.4817824396477598,0.4938115565500006,-0.0018082673013052,-0.0053886181876946,0.001823020073553,0.7824,0.3435789473684211,0.4084507042253521,0.4084507042253521,0.4084507042253521,True,0.0579540799047982,0.0496501310784825,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,90,0.6092553608109564,0.5987498528254545,0.6197608687964584,0.5972354258318525,0.5861773778599884,0.6082934738037167,-0.0120199349791038,-0.0230079265830326,-0.0010014276778841,0.1368,0.040235294117647,0.875,0.875,0.875,True,-0.0040468564569197,-0.0160667914360235,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,10,0.2925672919930722,0.2866315321961765,0.2985030517899678,0.300270943051135,0.2940447724864431,0.306497113615827,0.0075735042339397,0.0023818959097542,0.012809375324936,0.0289999999999999,0.0072499999999999,0.1764705882352941,0.1764705882352941,0.1764705882352941,True,0.0158420527147845,0.0234795094107314,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,30,0.4308034598272689,0.4251062999819594,0.4365006196725784,0.4070911820962338,0.4014864435351636,0.4126959206573041,-0.0237122777310351,-0.0270919526947841,-0.0203283858456774,0.0,0.0,0.2244897959183673,0.2244897959183673,0.2244897959183673,True,0.0507589398976285,0.0265754962810962,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,50,0.4761349996961019,0.4702219591889146,0.4820480402032893,0.4658091157681583,0.4593474024901567,0.4722708290461599,-0.0103258839279436,-0.0142360337897151,-0.0064154361020201,0.0,0.0,0.44927536231884063,0.4492753623188406,0.4492753623188406,True,0.0444838142007147,0.0276622487477606,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,90,0.6065864794823103,0.5960237239661664,0.6171492349984541,0.5389630715515931,0.5292886324915722,0.5486375106116139,-0.0676234079307172,-0.0796103570000632,-0.0556902819149537,0.0,0.0,0.8181818181818181,0.8181818181818182,0.8181818181818182,True,-0.0067157377855657,-0.074339145716283,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,10,0.2953544836937241,0.289293666388369,0.3014153009990792,0.3233150560390465,0.3175660489792631,0.3290640630988299,0.0279605723453223,0.0228196584391927,0.0330565628718907,0.0,0.0,0.25,0.25,0.25,True,0.0186292444154365,0.0465898167607589,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,30,0.4205478203595691,0.4147751516851953,0.4263204890339429,0.4272834756213724,0.4212203480366922,0.4333466032060526,0.0067356552618033,0.0035665238483629,0.0099037458574635,0.0012,0.0002666666666666,0.3043478260869565,0.3043478260869565,0.3043478260869565,True,0.0405033004299287,0.0467677898062349,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,50,0.4872038145558358,0.4812945134578372,0.4931131156538343,0.4657167848030815,0.4590333261383618,0.4724002434678012,-0.0214870297527542,-0.024954511288705,-0.0179311656031021,0.0,0.0,0.5151515151515151,0.5151515151515151,0.5151515151515151,True,0.0555526290604486,0.0275699177826838,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,90,0.6166967916003608,0.6063349412594123,0.6270586419413093,0.5965049916384709,0.585054750988196,0.6079552322887458,-0.0201917999618899,-0.0305508446521256,-0.0097325041209551,0.0,0.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,True,0.0033945743324846,-0.0167972256294052,A2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
