version,embedding_key,embedding_label,ratio,fold,predictor,rounded,scoring_convention,hyperparam_source,best_K,best_tau,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,item_rmse,item_rounded_accuracy,item_rounded_mae,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,selected_S,selected_S_hash,selected_S_source,s_new_coverage,s_new_redundancy,s_old_fold_hash,s_old_coverage,s_old_redundancy,jaccard_vs_s_old,intersection_n,union_n,n_test_subjects
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,4,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.41732221549068227,0.4053716007057513,0.42927283027561325,0.9151661018632854,1.1620860893947353,0.35149622690606297,0.8923497267759563,0.8939087606213746,0.9044215409035424,0.9277122733385592,0.7384399460727382,0.9230997825346242,0.8775164606941678,0.9194326860633435,"2,5,10,11,12,16,18,23,27,28,38,40,43,44,56,57,59,60,62,65,67,68,70,73,78,79,88,91,94,97",bad524b73607dd87,coverage_selector_embedding_specific,0.8364934175915859,0.6002675741078065,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.2,10,50,549
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,0,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.4275064746856705,0.41471172784331284,0.44030122152802814,0.9205079056766928,1.1986340574796375,0.3707532467532467,0.8985454545454545,0.8729441190681424,0.9364420088964336,0.9329220987737118,0.8582150055085316,0.8208183754723613,0.884268321543836,0.9101842532848939,"5,11,12,15,17,23,30,31,42,43,44,47,49,64,65,66,67,70,71,72,73,74,77,82,83,85,88,89,92,94",e516e4a7976f9b63,coverage_selector_embedding_specific,0.8436199980752908,0.5960513219837992,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.30434782608695654,14,46,550
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,1,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.424546334921769,0.41137232042377825,0.4377203494197598,0.9253662884814193,1.1961140591270363,0.36335064935064937,0.9035584415584416,0.8754493439440514,0.9334342292383447,0.904640449726986,0.8418890818891097,0.8224084064224857,0.8755643022441955,0.9028226705394912,"5,11,12,15,17,23,30,31,42,43,44,47,49,64,65,66,67,70,71,72,73,74,77,82,83,85,88,89,92,94",e516e4a7976f9b63,coverage_selector_embedding_specific,0.8436199980752908,0.5960513219837992,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.30434782608695654,14,46,550
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,2,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.4296190036061598,0.41762350165041934,0.44161450556190024,0.9137491809297061,1.1855792766861726,0.36838961038961043,0.8914545454545455,0.8887687409516429,0.9356674445473755,0.9233812538952334,0.8732969806438501,0.7862284045727348,0.8814685649221673,0.9110745254420188,"5,11,12,15,17,23,30,31,42,43,44,47,49,64,65,66,67,70,71,72,73,74,77,82,83,85,88,89,92,94",e516e4a7976f9b63,coverage_selector_embedding_specific,0.8436199980752908,0.5960513219837992,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.30434782608695654,14,46,550
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,3,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.4197243568446995,0.4068040423676253,0.4326446713217737,0.9198800879743101,1.1938454245775558,0.3674025974025974,0.8985454545454545,0.8756989374120479,0.9385990355245766,0.9201203343805882,0.8793076579436713,0.7993333083287375,0.8826118547179241,0.9094286941366322,"5,11,12,15,17,23,30,31,42,43,44,47,49,64,65,66,67,70,71,72,73,74,77,82,83,85,88,89,92,94",e516e4a7976f9b63,coverage_selector_embedding_specific,0.8436199980752908,0.5960513219837992,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.30434782608695654,14,46,550
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,4,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.4361029719488673,0.42356612351668305,0.4486398203810516,0.916799877196192,1.189585107427812,0.3672651574290919,0.8949258391881343,0.9055179727512158,0.9389844181885265,0.9245898359218702,0.848865958824186,0.824951972791571,0.8885820316954739,0.9224214892032235,"5,11,12,15,17,23,30,31,42,43,44,47,49,64,65,66,67,70,71,72,73,74,77,82,83,85,88,89,92,94",e516e4a7976f9b63,coverage_selector_embedding_specific,0.8436199980752908,0.5960513219837992,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.30434782608695654,14,46,549
B1_fixed,sbert_original,SBERT (original),30,0,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.3716336510298436,0.3599373427385564,0.3833299593211308,0.9427983687635645,1.2247752593400856,0.3681558441558441,0.9164155844155845,0.8778534842742814,0.9241041095365209,0.8481869787943942,0.7723812909214748,0.8846107245225838,0.861427317609851,0.8764783423637433,"4,7,8,12,20,23,25,28,29,35,36,40,41,42,43,45,47,48,49,50,59,66,67,73,77,80,83,86,88,94",1ce15da48f8052fb,coverage_selector_embedding_specific,0.8829888774252218,0.6177224169867237,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.9354838709677419,29,31,550
B1_fixed,sbert_original,SBERT (original),30,1,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.3614996571820729,0.3491476010275957,0.3738517133365501,0.9590812609677174,1.2332275649399935,0.3517662337662338,0.936,0.8636722226947116,0.9118012312136144,0.786267346063428,0.7678217760661759,0.8635235655353931,0.8386172283146646,0.8702439844606495,"4,7,8,12,20,23,25,28,29,35,36,40,41,42,43,45,47,48,49,50,59,66,67,73,77,80,83,86,88,94",1ce15da48f8052fb,coverage_selector_embedding_specific,0.8829888774252218,0.6177224169867237,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.9354838709677419,29,31,550
B1_fixed,sbert_original,SBERT (original),30,2,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.36123004660626584,0.34931853785248906,0.3731415553600426,0.9473413418877317,1.2192392161362164,0.3588571428571429,0.9224155844155845,0.9003479603785405,0.9349780091770618,0.8243740759577161,0.7682885138288691,0.876038060663458,0.8608053240011291,0.8821147378951413,"4,7,8,12,20,23,25,28,29,35,36,40,41,42,43,45,47,48,49,50,59,66,67,73,77,80,83,86,88,94",1ce15da48f8052fb,coverage_selector_embedding_specific,0.8829888774252218,0.6177224169867237,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.9354838709677419,29,31,550
B1_fixed,sbert_original,SBERT (original),30,3,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.36024267335643456,0.3474961706546602,0.3729891760582089,0.9484507809991928,1.22448847537956,0.36212987012987014,0.9235584415584416,0.8783285278550585,0.9235147565937075,0.8095121118264382,0.7956481088085701,0.8860398247558251,0.8586086659679198,0.8768733553141271,"4,7,8,12,20,23,25,28,29,35,36,40,41,42,43,45,47,48,49,50,59,66,67,73,77,80,83,86,88,94",1ce15da48f8052fb,coverage_selector_embedding_specific,0.8829888774252218,0.6177224169867237,62099f7a34f67aa9,0.8829888945012074,0.6164002583578039,0.9354838709677419,29,31,550
