embedding_key,embedding_label,ratio,fold,version_scope,s_new_hash,s_old_fold_hash,s_new_size,s_old_size,intersection_n,union_n,jaccard_overlap,selection_changed,items_only_in_s_new,items_only_in_s_old,s_new_coverage,s_new_redundancy,s_old_coverage,s_old_redundancy
minilm_l6_v2,MiniLM-L6-v2,90,1,B1_and_B2_shared_selection,4554bd3645a8b3db,e4aca0f6b9e84075,90,90,83,97,0.8556701030927835,True,"24,46,54,60,64,76,99","31,36,50,58,63,80,82",0.9877861496887302,0.5982106601820508,0.9945457838532562,0.628319119336572
minilm_l6_v2,MiniLM-L6-v2,90,2,B1_and_B2_shared_selection,4554bd3645a8b3db,e4aca0f6b9e84075,90,90,83,97,0.8556701030927835,True,"24,46,54,60,64,76,99","31,36,50,58,63,80,82",0.9877861496887302,0.5982106601820508,0.9945457838532562,0.628319119336572
minilm_l6_v2,MiniLM-L6-v2,90,3,B1_and_B2_shared_selection,4554bd3645a8b3db,e4aca0f6b9e84075,90,90,83,97,0.8556701030927835,True,"24,46,54,60,64,76,99","31,36,50,58,63,80,82",0.9877861496887302,0.5982106601820508,0.9945457838532562,0.628319119336572
minilm_l6_v2,MiniLM-L6-v2,90,4,B1_and_B2_shared_selection,4554bd3645a8b3db,e4aca0f6b9e84075,90,90,83,97,0.8556701030927835,True,"24,46,54,60,64,76,99","31,36,50,58,63,80,82",0.9877861496887302,0.5982106601820508,0.9945457838532562,0.628319119336572
mpnet_base_v2,MPNet-base-v2,10,0,B1_and_B2_shared_selection,fbaa37d42ee998f8,92745849571d4031,10,10,3,17,0.17647058823529413,True,"11,30,43,65,72,73,82","12,40,41,48,59,67,80",0.7617458986076234,0.6063249020843201,0.8111275356842519,0.6411336607517674
mpnet_base_v2,MPNet-base-v2,10,1,B1_and_B2_shared_selection,fbaa37d42ee998f8,92745849571d4031,10,10,3,17,0.17647058823529413,True,"11,30,43,65,72,73,82","12,40,41,48,59,67,80",0.7617458986076234,0.6063249020843201,0.8111275356842519,0.6411336607517674
mpnet_base_v2,MPNet-base-v2,10,2,B1_and_B2_shared_selection,fbaa37d42ee998f8,92745849571d4031,10,10,3,17,0.17647058823529413,True,"11,30,43,65,72,73,82","12,40,41,48,59,67,80",0.7617458986076234,0.6063249020843201,0.8111275356842519,0.6411336607517674
mpnet_base_v2,MPNet-base-v2,10,3,B1_and_B2_shared_selection,fbaa37d42ee998f8,92745849571d4031,10,10,3,17,0.17647058823529413,True,"11,30,43,65,72,73,82","12,40,41,48,59,67,80",0.7617458986076234,0.6063249020843201,0.8111275356842519,0.6411336607517674
mpnet_base_v2,MPNet-base-v2,10,4,B1_and_B2_shared_selection,fbaa37d42ee998f8,92745849571d4031,10,10,3,17,0.17647058823529413,True,"11,30,43,65,72,73,82","12,40,41,48,59,67,80",0.7617458986076234,0.6063249020843201,0.8111275356842519,0.6411336607517674
mpnet_base_v2,MPNet-base-v2,30,0,B1_and_B2_shared_selection,e516e4a7976f9b63,62099f7a34f67aa9,30,30,14,46,0.30434782608695654,True,"5,11,15,17,30,44,64,65,70,71,72,74,82,85,89,92","4,7,20,25,28,29,35,36,40,41,45,48,50,59,80,86",0.8436199980752908,0.5960513219837992,0.8829888945012074,0.6164002583578039
mpnet_base_v2,MPNet-base-v2,30,1,B1_and_B2_shared_selection,e516e4a7976f9b63,62099f7a34f67aa9,30,30,14,46,0.30434782608695654,True,"5,11,15,17,30,44,64,65,70,71,72,74,82,85,89,92","4,7,20,25,28,29,35,36,40,41,45,48,50,59,80,86",0.8436199980752908,0.5960513219837992,0.8829888945012074,0.6164002583578039
mpnet_base_v2,MPNet-base-v2,30,2,B1_and_B2_shared_selection,e516e4a7976f9b63,62099f7a34f67aa9,30,30,14,46,0.30434782608695654,True,"5,11,15,17,30,44,64,65,70,71,72,74,82,85,89,92","4,7,20,25,28,29,35,36,40,41,45,48,50,59,80,86",0.8436199980752908,0.5960513219837992,0.8829888945012074,0.6164002583578039
mpnet_base_v2,MPNet-base-v2,30,3,B1_and_B2_shared_selection,e516e4a7976f9b63,62099f7a34f67aa9,30,30,14,46,0.30434782608695654,True,"5,11,15,17,30,44,64,65,70,71,72,74,82,85,89,92","4,7,20,25,28,29,35,36,40,41,45,48,50,59,80,86",0.8436199980752908,0.5960513219837992,0.8829888945012074,0.6164002583578039
mpnet_base_v2,MPNet-base-v2,30,4,B1_and_B2_shared_selection,e516e4a7976f9b63,62099f7a34f67aa9,30,30,14,46,0.30434782608695654,True,"5,11,15,17,30,44,64,65,70,71,72,74,82,85,89,92","4,7,20,25,28,29,35,36,40,41,45,48,50,59,80,86",0.8436199980752908,0.5960513219837992,0.8829888945012074,0.6164002583578039
mpnet_base_v2,MPNet-base-v2,50,0,B1_and_B2_shared_selection,45bb1bb1246fbfc6,d172a87b5a6e4875,50,50,29,71,0.4084507042253521,True,"11,14,15,17,19,30,32,38,44,55,60,61,64,65,70,74,82,85,89,92,97","0,9,13,21,28,35,36,40,41,45,48,50,59,62,80,84,86,90,93,96,98",0.9029412441915747,0.5916511048942492,0.930037828572538,0.6265620656816998
mpnet_base_v2,MPNet-base-v2,50,1,B1_and_B2_shared_selection,45bb1bb1246fbfc6,d172a87b5a6e4875,50,50,29,71,0.4084507042253521,True,"11,14,15,17,19,30,32,38,44,55,60,61,64,65,70,74,82,85,89,92,97","0,9,13,21,28,35,36,40,41,45,48,50,59,62,80,84,86,90,93,96,98",0.9029412441915747,0.5916511048942492,0.930037828572538,0.6265620656816998
mpnet_base_v2,MPNet-base-v2,50,2,B1_and_B2_shared_selection,45bb1bb1246fbfc6,d172a87b5a6e4875,50,50,29,71,0.4084507042253521,True,"11,14,15,17,19,30,32,38,44,55,60,61,64,65,70,74,82,85,89,92,97","0,9,13,21,28,35,36,40,41,45,48,50,59,62,80,84,86,90,93,96,98",0.9029412441915747,0.5916511048942492,0.930037828572538,0.6265620656816998
